"Subject","sentence","mpt"
1,56,"NE"
1,89,"UN"
1,109,"NE"
1,52,"NU"
1,124,"UN"
1,24,"EN"
1,17,"NU"
1,5,"UU"
1,92,"UU"
1,50,"EN"
1,120,"EU"
1,53,"UE"
1,38,"UN"
1,76,"UU"
1,43,"NN"
1,36,"EN"
1,60,"NN"
1,28,"UU"
1,63,"EU"
1,91,"NN"
1,40,"NN"
1,20,"EN"
1,21,"NN"
1,41,"NN"
1,97,"UU"
1,69,"UU"
1,126,"NU"
1,2,"EE"
1,102,"NN"
1,105,"UN"
1,7,"NU"
1,62,"UN"
1,84,"EU"
1,94,"NN"
1,47,"NN"
1,88,"EN"
1,104,"UN"
1,16,"UN"
1,100,"EU"
1,77,"UU"
1,108,"NU"
1,86,"EN"
1,66,"NN"
1,98,"UU"
1,122,"NN"
1,106,"NN"
1,8,"NN"
1,54,"NN"
1,13,"NN"
1,118,"NN"
1,75,"NN"
1,81,"NN"
1,32,"NN"
1,67,"NN"
1,113,"EE"
1,10,"NN"
1,34,"NU"
1,3,"NN"
1,114,"EN"
1,31,"NE"
1,59,"EN"
1,83,"EE"
1,23,"EU"
1,30,"NE"
11,117,"UU"
11,5,"UN"
11,9,"EN"
11,14,"EN"
11,109,"NE"
11,75,"NN"
11,50,"UN"
11,99,"NN"
11,107,"UU"
11,115,"NU"
11,104,"EE"
11,65,"UU"
11,35,"NN"
11,19,"NU"
11,93,"EE"
11,31,"NU"
11,73,"UU"
11,70,"NN"
11,48,"UN"
11,28,"EU"
11,2,"UE"
11,113,"EN"
11,45,"NN"
11,84,"UN"
11,21,"NN"
11,119,"NE"
11,23,"UN"
11,64,"NN"
11,56,"NU"
11,76,"EE"
11,86,"EU"
11,100,"UN"
11,1,"NN"
11,16,"UN"
11,91,"NU"
11,77,"EN"
11,17,"NU"
11,41,"NU"
11,58,"NN"
11,125,"NE"
11,82,"UU"
11,40,"NN"
11,33,"EN"
11,97,"EU"
11,127,"UN"
11,61,"NN"
11,103,"EE"
11,116,"UE"
11,30,"NU"
11,87,"NN"
11,11,"EE"
11,89,"EE"
11,83,"EN"
11,3,"NN"
11,37,"NU"
11,92,"EN"
11,122,"NN"
11,67,"NN"
11,81,"NN"
11,8,"NN"
11,25,"NE"
11,54,"NN"
11,108,"NU"
11,6,"UN"
13,5,"UU"
13,21,"NN"
13,4,"EE"
13,111,"UE"
13,39,"EN"
13,98,"UE"
13,19,"NN"
13,12,"UE"
13,101,"NN"
13,10,"NN"
13,126,"NN"
13,64,"NN"
13,22,"NN"
13,66,"NN"
13,107,"UU"
