"Subject","sentence","mpt"
12,13,"NN"
12,122,"NN"
12,19,"NU"
12,65,"UU"
12,50,"EN"
12,47,"NN"
12,2,"UU"
12,42,"EE"
12,33,"EU"
12,56,"NE"
14,90,"NE"
14,62,"EU"
14,10,"NE"
14,118,"NN"
14,69,"UE"
14,37,"NU"
14,20,"UU"
14,2,"UN"
14,36,"EE"
14,21,"NN"
14,17,"NE"
14,106,"NE"
14,14,"UN"
14,57,"EU"
14,71,"NN"
14,126,"NN"
14,82,"UU"
14,117,"UE"
14,22,"NN"
14,24,"EE"
14,54,"NN"
14,77,"UU"
14,29,"UE"
14,8,"NN"
14,6,"EN"
14,125,"NE"
14,83,"UN"
14,87,"NN"
14,86,"UN"
14,104,"EE"
14,45,"NN"
14,32,"NN"
14,68,"EU"
14,76,"UU"
14,102,"NN"
14,63,"UE"
14,99,"NN"
14,122,"NN"
14,58,"NN"
14,114,"EE"
14,27,"NN"
14,26,"EE"
14,39,"EE"
14,48,"UE"
14,101,"NN"
14,93,"EE"
14,66,"NN"
14,42,"EE"
14,72,"NN"
14,75,"NN"
14,81,"NE"
14,91,"NE"
14,73,"UN"
14,112,"NN"
14,108,"NN"
14,97,"EE"
14,15,"NU"
14,109,"NU"
14,92,"EE"
14,120,"UE"
14,3,"NN"
14,9,"EE"
14,105,"UN"
14,50,"EU"
16,80,"EU"
16,51,"NE"
16,105,"UE"
16,76,"UE"
16,79,"NN"
16,45,"NN"
16,69,"EN"
16,8,"NN"
16,35,"NN"
16,9,"EN"
16,66,"NN"
16,112,"NE"
16,124,"UN"
16,127,"UN"
16,7,"NN"
16,25,"NN"
16,111,"EN"
16,5,"UE"
16,38,"UU"
16,121,"NN"
16,40,"NN"
16,74,"UU"
16,41,"NN"
16,103,"EE"
16,26,"EN"
16,56,"NN"
16,73,"EE"
16,115,"NN"
16,88,"UU"
16,86,"UN"
16,22,"NN"
16,118,"NN"
16,109,"NU"
16,27,"NN"
16,54,"NN"
16,15,"NN"
16,33,"UE"
16,91,"NN"
16,122,"NN"
16,94,"NN"
16,106,"NE"
16,60,"NN"
16,29,"EE"
16,2,"UN"
16,20,"EU"
16,11,"EE"
16,50,"EE"
16,72,"NN"
16,89,"EN"
16,119,"NN"
16,64,"NN"
16,101,"NE"
16,13,"NN"
16,59,"UE"
16,68,"UN"
16,4,"UN"
16,47,"NN"
16,96,"NN"
16,95,"EE"
16,18,"EE"
16,82,"EN"
16,98,"EE"
16,92,"UN"
16,62,"UN"
18,97,"EE"
18,126,"NN"
18,40,"NN"
18,38,"UE"
18,78,"NE"
18,32,"NN"
18,103,"UE"
18,6,"EE"
18,41,"NE"
18,100,"EN"
18,89,"EN"
18,124,"EE"
18,52,"NE"
18,4,"EE"
18,116,"UN"
18,104,"UN"
18,64,"NE"
18,87,"NN"
18,8,"NN"
18,23,"EE"
18,122,"NE"
18,49,"NN"
18,92,"UE"
18,112,"NE"
18,70,"NN"
18,45,"NN"
18,68,"EE"
18,86,"EE"
18,36,"UE"
18,15,"NN"
18,74,"UE"
18,31,"NE"
18,108,"NN"
18,77,"UE"
18,120,"EE"
18,51,"NN"
18,25,"NN"
18,71,"NN"
18,19,"NN"
18,82,"UE"
18,61,"NN"
18,98,"UE"
18,46,"EE"
18,105,"UE"
18,18,"EE"
18,94,"NN"
18,10,"NE"
18,57,"UE"
18,28,"EE"
18,47,"NN"
18,110,"EE"
18,66,"NN"
18,117,"UE"
18,29,"UE"
18,80,"UN"
18,21,"NN"
18,44,"NE"
18,72,"NN"
18,55,"UE"
18,34,"NN"
18,107,"EE"
18,58,"NN"
18,114,"EN"
18,13,"NN"
2,107,"UE"
2,71,"NN"
2,67,"NN"
2,88,"EE"
2,46,"EE"
2,80,"UE"
2,66,"NN"
2,53,"EE"
2,101,"NE"
2,2,"UU"
2,32,"NN"
2,29,"UU"
2,84,"EE"
2,122,"NN"
2,113,"UN"
2,79,"NN"
2,41,"NN"
2,58,"NN"
2,8,"NN"
2,82,"EN"
2,89,"EE"
2,18,"EE"
2,55,"EU"
2,36,"UE"
2,119,"NN"
2,94,"NN"
2,104,"UE"
2,98,"UE"
2,110,"EE"
2,13,"NN"
2,15,"NN"
2,27,"NN"
2,47,"NN"
2,73,"UE"
2,108,"NN"
2,39,"EE"
2,64,"NE"
2,124,"EN"
2,95,"UE"
2,105,"UN"
2,115,"NN"
2,116,"EE"
2,75,"NN"
2,34,"NN"
2,25,"NN"
2,83,"UE"
2,70,"NE"
2,128,"NN"
2,3,"NN"
2,20,"EN"
2,76,"UE"
2,126,"NN"
2,26,"UN"
2,96,"NE"
2,7,"NN"
2,11,"EE"
2,102,"NN"
2,57,"EE"
2,85,"NN"
2,37,"NN"
2,62,"UN"
2,23,"EE"
2,117,"UE"
2,49,"NN"
20,1,"NE"
20,89,"EE"
20,52,"NE"
20,17,"NE"
20,20,"EE"
20,123,"EU"
20,44,"NN"
20,36,"UE"
20,63,"EE"
20,47,"NN"
20,40,"NN"
20,49,"NN"
20,37,"NN"
20,92,"UE"
20,24,"EN"
20,51,"NN"
20,58,"NN"
20,116,"UE"
20,86,"EN"
20,78,"NN"
20,72,"NN"
20,95,"UN"
20,67,"NN"
20,108,"NN"
20,53,"UE"
20,112,"NN"
20,65,"UE"
20,5,"EN"
20,56,"NE"
20,96,"NN"
20,98,"EE"
20,79,"NN"
20,115,"NN"
20,104,"EE"
20,15,"NN"
20,31,"NN"
20,74,"UE"
20,8,"NN"
20,33,"UE"
20,28,"EE"
20,127,"EN"
20,102,"NN"
20,87,"NN"
20,82,"EN"
20,6,"UE"
20,23,"UE"
20,41,"NN"
20,119,"NN"
20,81,"NN"
20,3,"NN"
20,69,"UE"
20,61,"NE"
20,124,"EE"
20,9,"UN"
20,29,"UE"
20,106,"NE"
20,93,"UE"
20,100,"EE"
20,117,"UN"
20,14,"EE"
20,55,"UE"
20,109,"NE"
20,11,"EE"
20,91,"NU"
22,61,"NE"
22,108,"NE"
22,83,"EE"
22,112,"NE"
22,43,"NE"
22,10,"NE"
22,27,"NE"
22,125,"NE"
22,2,"UN"
22,31,"NN"
22,101,"NU"
22,53,"EE"
22,95,"UE"
22,99,"NN"
22,13,"NN"
22,39,"EE"
22,117,"EE"
22,116,"EE"
22,85,"NE"
22,123,"EN"
22,25,"NE"
22,3,"NE"
22,46,"UE"
22,42,"UE"
22,120,"UE"
22,90,"NN"
22,127,"UN"
22,12,"UE"
22,78,"NN"
22,77,"UE"
22,70,"NN"
22,119,"NN"
22,104,"EE"
22,103,"EE"
22,9,"EE"
22,20,"UE"
22,64,"NN"
22,55,"UE"
22,37,"NE"
22,96,"NN"
22,1,"NN"
22,16,"EE"
22,7,"NN"
22,74,"UE"
22,67,"NN"
22,88,"EE"
22,73,"EN"
22,23,"EN"
22,65,"EE"
22,106,"NN"
22,17,"NN"
22,29,"EE"
22,56,"NN"
22,109,"NE"
22,92,"EN"
22,58,"NN"
22,94,"NN"
22,5,"UE"
22,80,"UN"
22,35,"NN"
22,48,"UE"
22,32,"NN"
22,50,"UE"
22,84,"UE"
24,22,"NN"
24,31,"NE"
24,30,"NU"
24,77,"EU"
24,118,"NN"
24,47,"NN"
24,114,"UN"
24,50,"UE"
24,72,"NN"
24,18,"EU"
24,3,"NN"
24,71,"NN"
24,95,"UN"
24,14,"UU"
24,87,"NN"
24,19,"NU"
24,37,"NN"
24,76,"UE"
24,93,"UU"
24,39,"UU"
24,127,"UU"
24,15,"NN"
24,59,"EU"
24,105,"EN"
24,6,"EE"
24,53,"UU"
24,106,"NU"
24,43,"NN"
24,124,"EN"
24,113,"UN"
24,57,"EE"
24,11,"EU"
24,120,"EE"
24,33,"UN"
24,8,"NN"
24,104,"UU"
24,128,"NN"
24,62,"EN"
24,109,"NN"
24,64,"NN"
24,96,"NN"
24,111,"EE"
24,101,"NN"
24,65,"UU"
24,27,"NU"
24,103,"EE"
24,52,"NN"
24,85,"NN"
24,123,"UN"
24,25,"NN"
24,75,"NN"
24,34,"NN"
24,41,"NN"
24,55,"EU"
24,98,"UU"
24,36,"EE"
24,80,"EN"
24,69,"EN"
24,60,"NN"
24,68,"UU"
24,44,"NN"
24,91,"NN"
24,90,"NN"
24,51,"NN"
26,49,"NN"
26,91,"NN"
26,67,"NU"
26,1,"NN"
26,8,"NN"
26,29,"EE"
26,111,"EN"
26,26,"EE"
26,62,"EU"
26,27,"NN"
26,52,"NE"
26,79,"NN"
26,25,"NN"
26,120,"EU"
26,58,"NN"
26,55,"EU"
26,107,"EE"
26,125,"NN"
26,10,"NN"
26,66,"NU"
26,122,"NN"
26,83,"EE"
26,94,"NN"
26,23,"UE"
26,81,"NN"
26,36,"UE"
26,17,"NU"
26,7,"NN"
26,63,"EE"
26,5,"EN"
26,90,"NN"
26,82,"UN"
26,112,"NU"
26,32,"NN"
26,39,"EN"
26,84,"UN"
26,127,"UN"
26,101,"NN"
26,116,"UU"
26,69,"UU"
26,96,"NN"
26,76,"UE"
26,75,"NN"
26,117,"EU"
26,85,"NN"
26,14,"EN"
26,19,"NN"
26,92,"UE"
26,16,"EN"
26,38,"UE"
26,44,"NE"
26,114,"UU"
26,95,"UE"
26,48,"UE"
26,99,"NN"
26,88,"EN"
26,53,"UU"
26,109,"NN"
26,3,"NN"
26,102,"NN"
26,41,"NU"
26,9,"UN"
26,57,"EE"
26,104,"UN"
28,125,"NE"
28,13,"NE"
28,59,"EE"
28,113,"EN"
28,101,"NE"
28,89,"UE"
28,22,"NE"
28,86,"EE"
28,88,"EE"
28,27,"NN"
28,49,"NN"
28,43,"NN"
28,63,"UE"
28,62,"UN"
28,79,"NN"
28,17,"NE"
28,114,"UN"
28,47,"NN"
28,9,"EE"
28,93,"UE"
28,84,"UE"
28,126,"NN"
28,83,"UE"
28,45,"NN"
28,78,"NN"
28,110,"EE"
28,30,"NE"
28,19,"NN"
28,70,"NN"
28,66,"NN"
28,33,"EE"
28,8,"NN"
28,5,"UN"
28,46,"EE"
28,120,"EE"
28,116,"UE"
28,111,"EE"
28,106,"NN"
28,57,"EE"
28,95,"UE"
28,10,"NN"
28,97,"EE"
28,6,"UN"
28,75,"NN"
28,128,"NN"
28,38,"EE"
28,67,"NN"
28,60,"NE"
28,105,"UE"
28,35,"NE"
28,103,"UE"
28,16,"UE"
28,99,"NN"
28,121,"NE"
28,44,"NN"
28,81,"NN"
28,24,"UN"
28,39,"EE"
28,42,"EE"
28,4,"EE"
28,122,"NN"
28,31,"NE"
28,73,"UE"
28,54,"NN"
30,11,"EE"
30,117,"UE"
30,17,"NE"
30,80,"UE"
30,112,"NU"
30,47,"NE"
30,127,"UE"
30,72,"NE"
30,41,"NE"
30,6,"UE"
30,120,"EE"
30,49,"NE"
30,55,"UE"
30,66,"NE"
30,59,"UE"
30,101,"NE"
30,91,"NE"
30,128,"NE"
30,29,"EE"
30,23,"EE"
30,90,"NE"
30,44,"NE"
30,25,"NN"
30,68,"EN"
30,108,"NE"
30,14,"EE"
30,71,"NN"
30,73,"EE"
30,78,"NN"
30,34,"NN"
30,69,"EN"
30,36,"EE"
30,15,"NN"
30,33,"EE"
30,103,"UE"
30,97,"UN"
30,61,"NN"
30,57,"UE"
30,43,"NN"
30,53,"EE"
30,94,"NE"
30,109,"NE"
30,119,"NN"
30,116,"EN"
30,27,"NN"
30,38,"UN"
30,26,"UN"
30,4,"UE"
30,39,"EN"
30,79,"NN"
30,85,"NE"
30,8,"NE"
30,124,"EE"
30,1,"NE"
30,19,"NE"
30,63,"UE"
30,107,"UE"
30,104,"EE"
30,87,"NN"
30,98,"EE"
30,122,"NN"
30,95,"UE"
30,75,"NN"
30,83,"UE"
32,80,"EE"
32,78,"NN"
32,41,"NN"
32,69,"UU"
32,122,"NN"
32,5,"UE"
32,86,"EE"
32,117,"UE"
32,56,"NE"
32,21,"NN"
32,91,"NE"
32,126,"NN"
32,102,"NN"
32,24,"UN"
32,118,"NN"
32,19,"NE"
32,93,"UN"
32,66,"NN"
32,10,"NN"
32,7,"NN"
32,23,"EN"
32,30,"NN"
32,33,"EU"
32,28,"UE"
32,16,"EN"
32,112,"NU"
32,83,"EN"
32,68,"EE"
32,17,"NU"
32,3,"NN"
32,77,"EE"
32,35,"NU"
32,124,"UU"
32,114,"UU"
32,37,"NE"
32,105,"UN"
32,31,"NN"
32,55,"EN"
32,40,"NN"
32,34,"NN"
32,50,"EN"
32,63,"EE"
32,128,"NN"
32,88,"EE"
32,115,"NN"
32,53,"UN"
32,47,"NN"
32,104,"EE"
32,107,"UE"
32,59,"EN"
32,52,"NN"
32,111,"UE"
32,98,"UU"
32,101,"NN"
32,13,"NE"
32,8,"NN"
32,72,"NN"
32,110,"UN"
32,62,"UN"
32,90,"NN"
32,96,"NN"
32,2,"UN"
32,74,"EN"
32,82,"EN"
34,50,"UU"
34,38,"UU"
34,20,"EE"
34,69,"EE"
34,115,"NE"
34,103,"UE"
34,6,"EE"
34,98,"UE"
34,47,"NN"
34,72,"NE"
34,46,"UU"
34,29,"EE"
34,51,"NE"
34,79,"NE"
34,122,"NN"
34,57,"UE"
34,55,"UN"
34,10,"NN"
34,45,"NN"
34,109,"NE"
34,73,"UE"
34,96,"NN"
34,118,"NN"
34,121,"NN"
34,74,"EE"
34,81,"NN"
34,22,"NN"
34,119,"NN"
34,62,"EE"
34,41,"NE"
34,106,"NN"
34,28,"EE"
34,112,"NE"
34,68,"EE"
34,1,"NN"
34,94,"NN"
34,12,"EE"
34,39,"EE"
34,127,"UE"
34,16,"EE"
34,117,"EE"
34,95,"UN"
34,14,"UE"
34,32,"NN"
34,17,"NE"
34,87,"NN"
34,65,"EE"
34,63,"UE"
34,111,"UE"
34,24,"UE"
34,59,"EE"
34,85,"NN"
34,44,"NE"
34,43,"NN"
34,34,"NN"
34,125,"NE"
34,36,"EN"
34,100,"UE"
34,3,"NN"
34,90,"NU"
34,128,"NN"
34,26,"UE"
34,5,"EE"
34,78,"NE"
36,107,"UU"
36,44,"NN"
36,76,"UU"
36,81,"NN"
36,67,"NN"
36,42,"EE"
36,103,"EE"
36,24,"EN"
36,35,"NU"
36,61,"NN"
36,15,"NN"
36,11,"EE"
36,63,"EE"
36,12,"UU"
36,115,"NN"
36,113,"EN"
36,118,"NE"
36,126,"NU"
36,75,"NN"
36,58,"NN"
36,31,"NU"
36,29,"UE"
36,49,"NN"
36,21,"NN"
36,52,"NE"
36,9,"EE"
36,48,"UU"
36,94,"NN"
36,23,"EE"
36,69,"EE"
36,57,"EE"
36,121,"NN"
36,7,"NN"
36,117,"EN"
36,83,"UN"
36,40,"NN"
36,79,"NN"
36,43,"NN"
36,101,"NN"
36,54,"NN"
36,37,"NN"
36,91,"NN"
36,14,"UN"
36,97,"UN"
36,110,"UN"
36,71,"NN"
36,105,"EU"
36,92,"UU"
36,18,"EU"
36,86,"UN"
36,87,"NN"
36,123,"EN"
36,33,"UE"
36,4,"UE"
36,124,"EN"
36,108,"NN"
36,90,"NN"
36,27,"NN"
36,98,"UU"
36,65,"UU"
36,19,"NN"
36,53,"EE"
36,72,"NN"
36,114,"UU"
38,99,"NE"
38,10,"NE"
38,41,"NE"
38,63,"UE"
38,30,"NE"
38,27,"NE"
38,125,"NE"
38,3,"NU"
38,71,"NU"
38,6,"UN"
38,72,"NE"
38,88,"EE"
38,102,"NN"
38,106,"NE"
38,117,"UE"
38,104,"EU"
38,24,"UN"
38,80,"UE"
38,46,"EE"
38,123,"UE"
38,61,"NE"
38,101,"NE"
38,14,"EE"
38,12,"UU"
38,128,"NE"
38,113,"EN"
38,48,"EN"
38,37,"NE"
38,73,"UE"
38,68,"EE"
38,1,"NE"
38,21,"NN"
38,26,"UN"
38,89,"UE"
38,44,"NE"
38,116,"EE"
38,127,"EU"
38,70,"NU"
38,59,"UU"
38,119,"NN"
38,82,"EE"
38,39,"EE"
38,66,"NN"
38,111,"EN"
38,20,"EE"
38,115,"NE"
38,85,"NE"
38,93,"UE"
38,16,"EN"
38,76,"UE"
38,56,"NE"
38,49,"NE"
38,35,"NN"
38,77,"EN"
38,110,"EE"
38,22,"NE"
38,75,"NE"
38,83,"UE"
38,32,"NU"
38,54,"NN"
38,34,"NN"
38,53,"UE"
38,96,"NN"
38,18,"UN"
4,10,"NE"
4,6,"UN"
4,5,"EE"
4,124,"EE"
4,118,"NN"
4,84,"UN"
4,102,"NN"
4,68,"EU"
4,65,"UN"
4,85,"NN"
4,52,"NN"
4,44,"NN"
4,45,"NN"
4,106,"NE"
4,46,"EU"
4,25,"NE"
4,29,"EE"
4,97,"UN"
4,127,"UN"
4,15,"NN"
4,48,"EE"
4,117,"EN"
4,18,"EU"
4,9,"UN"
4,64,"NN"
4,43,"NN"
4,41,"NE"
4,35,"NE"
4,56,"NU"
4,79,"NE"
4,62,"EE"
4,90,"NN"
4,4,"EN"
4,112,"NN"
4,88,"UN"
4,83,"EN"
4,37,"NN"
4,50,"UE"
4,99,"NN"
4,114,"UE"
4,75,"NN"
4,31,"NE"
4,95,"UU"
4,54,"NN"
4,28,"UE"
4,69,"UU"
4,108,"NN"
4,128,"NE"
4,14,"EN"
4,12,"EE"
4,58,"NE"
4,109,"NN"
4,104,"UU"
4,94,"NN"
4,122,"NN"
4,20,"EE"
4,100,"UN"
4,105,"UN"
4,23,"EE"
4,39,"UN"
4,78,"NN"
4,115,"NU"
4,33,"EN"
4,81,"NN"
40,69,"EE"
40,11,"UU"
40,66,"NN"
40,6,"EN"
40,106,"NU"
40,74,"UU"
40,105,"UU"
40,109,"NE"
40,29,"UN"
40,89,"EN"
40,104,"EN"
40,18,"EE"
40,60,"NN"
40,80,"UN"
40,71,"NN"
40,77,"EE"
40,59,"EN"
40,126,"NN"
40,118,"NN"
40,40,"NN"
40,125,"NN"
40,67,"NU"
40,122,"NN"
40,72,"NN"
40,93,"EN"
40,97,"EN"
40,91,"NU"
40,47,"NN"
40,98,"EE"
40,50,"UN"
40,73,"UN"
40,95,"EE"
40,61,"NN"
40,16,"EN"
40,45,"NN"
40,32,"NN"
40,41,"NU"
40,54,"NN"
40,101,"NN"
40,20,"EE"
40,112,"NE"
40,31,"NN"
40,103,"UE"
40,57,"UN"
40,27,"NN"
40,76,"EE"
40,13,"NN"
40,38,"UU"
40,120,"UE"
40,35,"NN"
40,85,"NN"
40,114,"UU"
40,22,"NE"
40,87,"NN"
40,4,"UN"
40,51,"NE"
40,25,"NE"
40,44,"NN"
40,111,"UE"
40,82,"UN"
40,34,"NE"
40,12,"EU"
40,63,"UN"
40,92,"EE"
42,71,"NN"
42,14,"UN"
42,15,"NN"
42,95,"EN"
42,97,"UN"
42,108,"NN"
42,101,"NE"
42,85,"NN"
42,53,"UE"
42,91,"NE"
42,124,"EN"
42,87,"NN"
42,7,"NN"
42,82,"UE"
42,8,"NN"
42,64,"NN"
42,35,"NN"
42,75,"NE"
42,4,"EE"
42,51,"NN"
42,34,"NN"
42,25,"NE"
42,102,"NN"
42,68,"EN"
42,11,"EN"
42,40,"NE"
42,98,"UN"
42,65,"UE"
42,92,"UE"
42,121,"NN"
42,72,"NN"
42,81,"NN"
42,109,"NE"
42,2,"EN"
42,77,"EE"
42,127,"EN"
42,38,"EN"
42,19,"NN"
42,27,"NN"
42,76,"UE"
42,29,"EN"
42,105,"UN"
42,62,"EN"
42,59,"EN"
42,93,"UN"
42,48,"UN"
42,73,"UN"
42,22,"NN"
42,115,"NN"
42,114,"UE"
42,33,"UN"
42,41,"NN"
42,57,"EN"
42,49,"NN"
42,55,"EE"
42,123,"EN"
42,17,"NE"
42,118,"NN"
42,90,"NN"
42,107,"UN"
42,26,"UN"
42,112,"NN"
42,69,"EN"
42,60,"NN"
44,49,"NU"
44,46,"EE"
44,29,"EU"
44,1,"NN"
44,63,"UU"
44,83,"UU"
44,9,"EE"
44,108,"NU"
44,31,"NN"
44,45,"NN"
44,13,"NN"
44,42,"EN"
44,11,"UU"
44,21,"NN"
44,72,"NN"
44,37,"NE"
44,100,"UU"
44,113,"UN"
44,69,"EE"
44,60,"NE"
44,59,"EN"
44,99,"NU"
44,119,"NU"
44,16,"UU"
44,124,"UU"
44,6,"UU"
44,44,"NE"
44,75,"NN"
44,71,"NN"
44,93,"UN"
44,33,"EE"
44,20,"EE"
44,35,"NU"
44,23,"UU"
44,12,"EE"
44,107,"UU"
44,61,"NN"
44,102,"NN"
44,85,"NU"
44,56,"NU"
44,27,"NU"
44,127,"EN"
44,123,"UU"
44,4,"UN"
44,24,"EE"
44,87,"NN"
44,79,"NU"
44,118,"NN"
44,66,"NN"
44,55,"EU"
44,73,"EE"
44,121,"NN"
44,81,"NU"
44,43,"NN"
44,67,"NE"
44,48,"UU"
44,92,"EE"
44,40,"NN"
44,110,"EE"
44,18,"EU"
44,115,"NU"
44,90,"NN"
44,97,"UN"
44,76,"UU"
46,38,"UN"
46,80,"UN"
46,55,"EE"
46,122,"NN"
46,115,"NN"
46,36,"EE"
46,2,"EN"
46,82,"UN"
46,103,"UN"
46,26,"EN"
46,92,"UE"
46,51,"NN"
46,29,"UE"
46,64,"NN"
46,16,"EN"
46,116,"EE"
46,39,"UE"
46,99,"NN"
46,65,"UE"
46,124,"EN"
46,71,"NN"
46,6,"UE"
46,85,"NE"
46,28,"EE"
46,8,"NN"
46,47,"NN"
46,9,"EN"
46,93,"UN"
46,105,"EN"
46,62,"UE"
46,60,"NE"
46,68,"EN"
46,13,"NN"
46,19,"NN"
46,89,"UE"
46,10,"NN"
46,33,"EE"
46,21,"NE"
46,119,"NN"
46,49,"NN"
46,45,"NN"
46,72,"NN"
46,126,"NN"
46,88,"UE"
46,108,"NE"
46,23,"UN"
46,46,"EE"
46,113,"EE"
46,75,"NN"
46,110,"EN"
46,17,"NE"
46,96,"NE"
46,69,"EE"
46,41,"NE"
46,101,"NN"
46,104,"UN"
46,78,"NN"
46,58,"NN"
46,106,"NN"
46,3,"NN"
46,52,"NN"
46,56,"NN"
46,25,"NE"
46,77,"UE"
48,2,"UE"
48,95,"EU"
48,125,"NN"
48,111,"UN"
48,113,"UN"
48,40,"NE"
48,69,"UE"
48,103,"EN"
48,91,"NU"
48,36,"UE"
48,38,"UN"
48,7,"NU"
48,19,"NN"
48,47,"NN"
48,120,"EE"
48,86,"UE"
48,96,"NN"
48,27,"NU"
48,8,"NN"
48,116,"EE"
48,92,"EN"
48,45,"NN"
48,72,"NE"
48,32,"NN"
48,14,"EE"
48,117,"UE"
48,109,"NE"
48,83,"UE"
48,18,"EN"
48,62,"EE"
48,49,"NN"
48,43,"NE"
48,76,"UU"
48,79,"NE"
48,55,"EN"
48,3,"NE"
48,90,"NE"
48,63,"EE"
48,101,"NE"
48,22,"NN"
48,105,"EE"
48,41,"NE"
48,29,"EE"
48,121,"NE"
48,66,"NN"
48,57,"UE"
48,11,"UE"
48,93,"EE"
48,87,"NN"
48,98,"UE"
48,31,"NN"
48,123,"UE"
48,119,"NN"
48,126,"NN"
48,59,"EN"
48,74,"UN"
48,16,"EN"
48,52,"NE"
48,71,"NE"
48,9,"EE"
48,67,"NE"
48,81,"NN"
48,24,"UE"
48,106,"NE"
6,83,"EE"
6,35,"NE"
6,106,"NE"
6,82,"UN"
6,41,"NE"
6,117,"UU"
6,54,"NE"
6,25,"NE"
6,18,"UE"
6,44,"NE"
6,109,"NN"
6,89,"EN"
6,15,"NE"
6,49,"NN"
6,8,"NU"
6,5,"EE"
6,59,"EU"
6,48,"UE"
6,125,"NE"
6,20,"UN"
6,34,"NN"
6,40,"NN"
6,81,"NE"
6,96,"NE"
6,28,"UE"
6,88,"UE"
6,104,"UE"
6,70,"NN"
6,126,"NU"
6,30,"NE"
6,118,"NE"
6,95,"EE"
6,52,"NE"
6,56,"NE"
6,84,"EE"
6,23,"UE"
6,14,"EN"
6,4,"EE"
6,77,"EE"
6,128,"NE"
6,11,"EN"
6,99,"NN"
6,62,"EN"
6,91,"NN"
6,113,"EE"
6,37,"NE"
6,26,"UE"
6,66,"NE"
6,114,"EN"
6,93,"EN"
6,45,"NN"
6,64,"NN"
6,115,"NE"
6,108,"NE"
6,74,"UE"
6,68,"UE"
6,6,"EE"
6,103,"UN"
6,85,"NE"
6,100,"EE"
6,123,"UE"
6,76,"UU"
6,105,"UN"
6,32,"NN"
8,113,"UU"
8,41,"NE"
8,70,"NN"
8,55,"UE"
8,23,"EE"
8,62,"EN"
8,119,"NN"
8,28,"UU"
8,89,"UU"
8,71,"NN"
8,48,"UN"
8,79,"NE"
8,30,"NU"
8,84,"UU"
8,80,"EU"
8,96,"NN"
8,26,"UU"
8,39,"EU"
8,60,"NU"
8,94,"NE"
8,44,"NN"
8,120,"EU"
8,1,"NE"
8,10,"NU"
8,66,"NN"
8,35,"NN"
8,125,"NN"
8,109,"NE"
8,15,"NN"
8,67,"NN"
8,49,"NU"
8,64,"NU"
8,73,"UN"
8,100,"UN"
8,4,"UU"
8,121,"NN"
8,127,"EE"
8,58,"NU"
8,123,"UN"
8,51,"NN"
8,46,"EU"
8,116,"UU"
8,20,"UU"
8,6,"EN"
8,8,"NU"
8,57,"EU"
8,33,"UU"
8,99,"NN"
8,9,"UU"
8,13,"NN"
8,21,"NU"
8,111,"EN"
8,88,"EU"
8,85,"NN"
8,78,"NN"
8,106,"NU"
8,24,"EE"
8,17,"NU"
8,82,"EE"
8,38,"UU"
8,102,"NN"
8,53,"EU"
8,74,"EE"
8,92,"EN"
