"Subject","sentence","mpt"
110,59,"EE"
110,99,"NN"
110,114,"UE"
110,67,"NE"
110,56,"NN"
110,15,"NE"
110,69,"EE"
110,73,"UN"
110,116,"UE"
110,10,"NN"
110,28,"UE"
110,26,"EN"
110,12,"UE"
110,24,"UN"
110,17,"NN"
110,55,"EE"
110,4,"UN"
110,29,"UE"
110,45,"NN"
110,115,"NE"
110,14,"UE"
110,126,"NN"
110,122,"NN"
110,124,"EE"
110,19,"NE"
110,74,"UE"
110,117,"EE"
110,41,"NN"
110,38,"EN"
110,108,"NN"
110,61,"NE"
110,121,"NN"
110,79,"NE"
110,128,"NE"
110,48,"EE"
110,107,"EE"
110,91,"NE"
110,65,"EN"
110,40,"NE"
110,89,"UN"
110,51,"NN"
110,109,"NN"
110,6,"UE"
110,96,"NN"
110,34,"NN"
110,105,"EN"
110,88,"EN"
110,5,"EE"
110,49,"NN"
110,43,"NN"
110,113,"EN"
110,78,"NN"
110,32,"NN"
110,102,"NE"
110,72,"NE"
110,86,"EE"
110,22,"NE"
110,36,"UN"
110,101,"NE"
110,63,"EN"
110,2,"UE"
110,80,"UE"
110,93,"UN"
110,21,"NN"
12,15,"NE"
12,114,"UU"
12,110,"UE"
12,29,"UE"
12,74,"UU"
12,90,"NN"
12,99,"NN"
12,125,"NE"
12,111,"UN"
12,61,"NE"
12,39,"UU"
12,101,"NU"
12,72,"NN"
12,3,"NN"
12,23,"EU"
12,63,"EN"
12,53,"EN"
12,55,"EU"
12,121,"NN"
12,115,"NN"
12,31,"NN"
12,73,"EU"
12,28,"UU"
12,82,"UU"
12,85,"NU"
12,102,"NN"
12,5,"UE"
12,117,"UU"
12,126,"NN"
12,70,"NU"
12,59,"EN"
12,46,"UU"
12,9,"EE"
12,83,"UU"
12,1,"NE"
12,12,"UE"
12,112,"NU"
12,106,"NE"
12,76,"EE"
12,93,"EN"
12,36,"EE"
12,128,"NE"
12,87,"NN"
12,25,"NU"
12,7,"NU"
12,67,"NU"
12,10,"NE"
12,18,"EN"
12,21,"NN"
12,96,"NN"
12,77,"EU"
12,80,"UE"
12,38,"EU"
12,118,"NN"
